# Kona Param. Contn. convergence history (opt tol = 1.193243e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0     -----        24      2.647e+02      2.647e+02     1.1932e+00     0.0000e+00     ----------     ----------     ----------     1.0000     
     33         1      7098      1.049e+02      1.049e+02     1.2402e+00     2.1321e-03      2.473e+02     9.8350e-04     7.2067e-05     0.0053163     

     34         0      7281      9.270e+01      9.270e+01     1.0349e+00     4.4336e-02      2.391e+02     7.3360e-01     4.4058e-02     0.0047145     
     34         1      7486      9.219e+01      9.219e+01     1.1862e+00     2.0699e-03      2.395e+02     1.3163e-03     1.7032e-04     0.0047145     

     35         0      7683      7.814e+01      7.814e+01     9.6850e-01     1.0434e-01      2.271e+02     7.0328e-01     1.0387e-01     0.0040721     
     35         1      7891      7.806e+01      7.806e+01     1.1100e+00     2.1895e-03      2.271e+02     3.1039e-03     1.0456e-03     0.0040721     

     36         0      8097      4.997e+01      4.998e+01     7.9857e-01     1.1828e+00      1.887e+02     6.6428e-01     1.1794e+00     0.0028595     
     36         1      8313      5.011e+01      5.012e+01     8.9051e-01     6.1466e-03      1.886e+02     4.9529e-03     6.0513e-03     0.0028595     

     37         0      8530      2.434e+01      2.456e+01     5.2030e-01     6.9651e+00      1.181e+02     5.3054e-01     6.9544e+00     0.0015375     
     37         1      8773      2.578e+01      2.544e+01     5.2717e-01     1.8427e+00      1.181e+02     6.5260e-02     1.8402e+00     0.0015375     

     38         0      9259      2.576e+01      2.567e+01     4.3900e-01     3.5903e-01      5.131e+01     4.0468e-01     3.5899e-01     0.0004260     
     38         1      9507      2.569e+01      2.571e+01     3.7849e-01     1.0099e-01      5.135e+01     2.6148e-01     1.0090e-01     0.0004260     

     39         0      9985      2.562e+01      2.561e+01     3.6700e-01     4.4856e-02      4.659e+01     2.9169e-01     4.4913e-02     0.0003483     
     39         1     10241      2.513e+01      2.513e+01     3.6422e-01     4.7071e-02      4.620e+01     2.6946e-01     4.7039e-02     0.0003483     

     40         0     10741      2.498e+01      2.497e+01     3.5279e-01     4.2331e-02      4.403e+01     2.8296e-01     4.2391e-02     0.0003146     
     40         1     11001      2.473e+01      2.473e+01     3.5151e-01     4.1499e-02      4.383e+01     2.6707e-01     4.1482e-02     0.0003146     

     41         0     11509      2.462e+01      2.461e+01     3.4319e-01     3.3228e-02      4.336e+01     2.7432e-01     3.3290e-02     0.0003086     
     41         1     11768      2.421e+01      2.421e+01     3.4064e-01     4.3341e-02      4.302e+01     2.5799e-01     4.3327e-02     0.0003086     

     42         0     12280      2.400e+01      2.399e+01     3.3188e-01     4.3362e-02      4.256e+01     2.6423e-01     4.3398e-02     0.0003041     
     42         1     12545      2.378e+01      2.378e+01     3.3101e-01     4.2877e-02      4.239e+01     2.4972e-01     4.2875e-02     0.0003041     

     43         0     13047      2.378e+01      2.377e+01     3.2402e-01     2.8085e-02      4.237e+01     2.5683e-01     2.8148e-02     0.0003039     
     43         1     13315      2.324e+01      2.324e+01     3.2356e-01     4.9409e-02      4.192e+01     2.4079e-01     4.9411e-02     0.0003039     

     44         0     13826      2.329e+01      2.329e+01     3.1185e-01     2.8550e-02      3.648e+01     2.6729e-01     2.8561e-02     0.0002147     
     44         1     14074      2.294e+01      2.294e+01     3.0730e-01     4.3278e-02      3.617e+01     2.5203e-01     4.3271e-02     0.0002147     

     45         0     14587      2.290e+01      2.289e+01     3.0319e-01     3.5106e-02      3.594e+01     2.5694e-01     3.5134e-02     0.0002116     
     45         1     14843      2.276e+01      2.275e+01     3.0118e-01     3.6181e-02      3.582e+01     2.4732e-01     3.6190e-02     0.0002116     

     46         0     15359      2.256e+01      2.256e+01     2.9478e-01     3.7692e-02      3.310e+01     2.5889e-01     3.7708e-02     0.0001705     
     46         1     15621      2.229e+01      2.228e+01     2.9150e-01     4.6761e-02      3.285e+01     2.4807e-01     4.6772e-02     0.0001705     

     47         0     16135      2.229e+01      2.228e+01     2.8787e-01     3.5655e-02      3.258e+01     2.5201e-01     3.5664e-02     0.0001661     
     47         1     16395      2.209e+01      2.209e+01     2.8483e-01     4.1818e-02      3.240e+01     2.4350e-01     4.1837e-02     0.0001661     

     48         0     16914      2.208e+01      2.208e+01     2.8252e-01     3.3879e-02      3.213e+01     2.4734e-01     3.3898e-02     0.0001619     
     48         1     17168      2.185e+01      2.185e+01     2.7979e-01     4.2377e-02      3.192e+01     2.3932e-01     4.2402e-02     0.0001619     

     49         0     17686      2.177e+01      2.176e+01     2.7921e-01     4.2575e-02      3.056e+01     2.4956e-01     4.2586e-02     0.0001413     
     49         1     17946      2.168e+01      2.167e+01     2.7431e-01     4.3887e-02      3.047e+01     2.3967e-01     4.3911e-02     0.0001413     

     50         0     18457      2.167e+01      2.167e+01     2.7243e-01     3.7032e-02      3.026e+01     2.4277e-01     3.7048e-02     0.0001379     
     50         1     18717      2.148e+01      2.147e+01     2.7045e-01     4.4867e-02      3.007e+01     2.3651e-01     4.4900e-02     0.0001379     

     51         0     19237      2.146e+01      2.145e+01     2.6957e-01     4.1303e-02      2.918e+01     2.4355e-01     4.1313e-02     0.0001238     
     51         1     19495      2.140e+01      2.139e+01     2.6698e-01     4.1615e-02      2.912e+01     2.3706e-01     4.1639e-02     0.0001238     

     52         0     19992      2.130e+01      2.129e+01     2.6571e-01     4.2894e-02      2.856e+01     2.4118e-01     4.2906e-02     0.0001163     
     52         1     20249      2.126e+01      2.125e+01     2.6328e-01     4.1882e-02      2.852e+01     2.3535e-01     4.1907e-02     0.0001163     

     53         0     20755      2.112e+01      2.112e+01     2.6187e-01     4.3565e-02      2.693e+01     2.4259e-01     4.3570e-02     0.0000928     
