# Kona Param. Contn. convergence history (opt tol = 9.318387e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0     -----        24      2.647e+02      2.647e+02     9.3184e+00     0.0000e+00     ----------     ----------     ----------     1.0000     
     28         0      3729      2.070e+02      2.071e+02     5.7383e+00     5.1997e-01      2.083e+02     1.7538e-01     7.2276e-03     0.2102858     
     28         1      3830      2.048e+02      2.049e+02     5.7280e+00     5.2510e-01      2.101e+02     4.1209e-04     1.2179e-05     0.2102858     

     29         0      3945      1.926e+02      1.927e+02     5.6935e+00     4.1329e-01      2.177e+02     1.4929e-01     4.8113e-03     0.1751122     
     29         1      4046      1.904e+02      1.905e+02     5.6848e+00     4.1673e-01      2.196e+02     4.6450e-04     1.7544e-05     0.1751122     

     30         0      4168      1.768e+02      1.769e+02     5.6229e+00     3.3328e-01      2.247e+02     1.2728e-01     3.6212e-03     0.1471357     
     30         1      4271      1.746e+02      1.747e+02     5.6140e+00     3.3573e-01      2.266e+02     5.5218e-04     2.5970e-05     0.1471357     

     31         0      4399      1.595e+02      1.596e+02     5.5193e+00     2.7103e-01      2.294e+02     1.1038e-01     3.3153e-03     0.1242097     
     31         1      4529      1.573e+02      1.574e+02     5.5087e+00     2.7312e-01      2.313e+02     6.9317e-04     3.9392e-05     0.1242097     

     32         0      4658      1.405e+02      1.406e+02     5.3694e+00     2.2100e-01      2.315e+02     9.7156e-02     4.0489e-03     0.1048336     
     32         1      4791      1.383e+02      1.384e+02     5.3558e+00     2.2333e-01      2.334e+02     9.0810e-04     6.5051e-05     0.1048336     

     33         0      4921      1.195e+02      1.196e+02     5.1485e+00     1.7895e-01      2.302e+02     8.8517e-02     7.1162e-03     0.0877596     
     33         1      5060      1.174e+02      1.175e+02     5.1297e+00     1.8259e-01      2.318e+02     1.2543e-03     1.1194e-04     0.0877596     

     34         0      5228      9.573e+01      9.583e+01     4.8028e+00     1.4056e-01      2.231e+02     9.0003e-02     1.8290e-02     0.0716829     
     34         1      5385      9.395e+01      9.406e+01     4.7753e+00     1.4813e-01      2.243e+02     1.5919e-03     2.0223e-04     0.0716829     

     35         0      5556      6.696e+01      6.709e+01     4.1776e+00     1.1576e-01      2.029e+02     1.3233e-01     8.2663e-02     0.0543623     
     35         1      5720      6.621e+01      6.635e+01     4.1345e+00     1.1715e-01      2.033e+02     1.2691e-03     1.2824e-04     0.0543623     

     36         0      5894      1.720e+01      1.774e+01     2.1226e+00     5.4128e+00      1.132e+02     6.5514e-01     5.3013e+00     0.0238342     
     36         1      6093      2.065e+01      1.862e+01     1.7956e+00     1.9915e+00      1.119e+02     7.4390e-01     1.9778e+00     0.0238342     
     36         2      6295      2.010e+01      2.013e+01     1.9404e+00     3.6545e-01      1.135e+02     3.8987e-01     3.6523e-01     0.0238342     

     37         0      6685      1.573e+01      1.512e+01     8.7338e-01     9.1698e-01      1.548e+01     8.7239e-01     9.1698e-01     0.0000878     
     37         1      6884      1.625e+01      1.594e+01     6.0896e-01     3.5061e-01      1.630e+01     6.0416e-01     3.5063e-01     0.0000878     
     37         2      7093      1.550e+01      1.533e+01     5.3410e-01     2.3062e-01      1.569e+01     5.2930e-01     2.3063e-01     0.0000878     

     38         0      7495      1.545e+01      1.528e+01     5.1327e-01     1.7839e-01      1.528e+01     5.1327e-01     1.7839e-01     0.0000000     
     38         1      7701      1.502e+01      1.487e+01     4.8041e-01     1.8699e-01      1.487e+01     4.8041e-01     1.8699e-01     0.0000000     
     38         2      7903      1.503e+01      1.487e+01     4.6871e-01     1.4835e-01      1.487e+01     4.6871e-01     1.4835e-01     0.0000000     
     38         3      8106      1.466e+01      1.451e+01     4.4028e-01     1.7126e-01      1.451e+01     4.4028e-01     1.7126e-01     0.0000000     
     38         4      8306      1.470e+01      1.456e+01     4.3330e-01     1.3382e-01      1.456e+01     4.3330e-01     1.3382e-01     0.0000000     
     38         5      8508      1.435e+01      1.420e+01     4.0671e-01     1.6259e-01      1.420e+01     4.0671e-01     1.6259e-01     0.0000000     
     38         6      8710      1.442e+01      1.429e+01     4.0309e-01     1.2128e-01      1.429e+01     4.0309e-01     1.2128e-01     0.0000000     
     38         7      8918      1.409e+01      1.394e+01     3.7760e-01     1.5347e-01      1.394e+01     3.7760e-01     1.5347e-01     0.0000000     
     38         8      9123      1.419e+01      1.407e+01     3.7623e-01     1.0835e-01      1.407e+01     3.7623e-01     1.0835e-01     0.0000000     
     38         9      9331      1.379e+01      1.364e+01     3.4741e-01     1.4728e-01      1.364e+01     3.4741e-01     1.4728e-01     0.0000000     
