#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 6.342510e+01
# initial gradient norm     = 4.776911e+00
# initial constraint norm   = 6.324495e+01
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
# initial constraint norm   = 1.344327e+00
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.202264e+00
      1     8.867456e-01     9.131966e-01     8.651769e-01     8.932795e-01     2.608349e-01     9.634828e-01     1.202264e+00
      2     8.399521e-01     9.235348e-01     7.671605e-01     8.246057e-01     2.041070e-01     1.002722e+00     1.202264e+00
      3     8.278622e-01     9.227519e-01     7.439864e-01     9.074459e-01     2.622273e-01     2.050670e+00     1.202264e+00
      4     7.371201e-01     9.138162e-01     5.584105e-01     1.341439e+00     1.323628e-02     3.461746e+00     1.202264e+00
      5     7.111346e-01     8.883274e-01     5.298837e-01     1.320943e+00     3.401878e-01     3.655062e+00     1.202264e+00
      6     7.050237e-01     8.923126e-01     5.095314e-01     1.346565e+00     2.057116e-01     3.806445e+00     1.202264e+00
      7     7.050195e-01     8.924980e-01     5.092632e-01     1.352429e+00     2.007752e-01     4.087188e+00     1.202264e+00
      8     6.953484e-01     9.031650e-01     4.688869e-01     1.302674e+00     -1.812232e-01     5.061009e+00     1.202264e+00
      9     6.857237e-01     8.909980e-01     4.618857e-01     1.287304e+00     3.212021e-02     5.102972e+00     1.202264e+00
     10     6.806710e-01     9.026716e-01     4.293445e-01     1.277060e+00     -3.375330e-01     5.157982e+00     1.202264e+00
     11     6.806152e-01     9.018652e-01     4.305292e-01     1.264137e+00     -3.164085e-01     5.210364e+00     1.202264e+00
     12     6.766585e-01     9.056620e-01     4.126452e-01     1.190028e+00     -4.761374e-01     5.481719e+00     1.202264e+00
     13     6.568732e-01     8.870916e-01     3.864895e-01     1.161250e+00     -3.118489e-01     5.528518e+00     1.202264e+00
     14     6.567958e-01     8.852649e-01     3.895658e-01     1.086648e+00     -2.638352e-01     5.772109e+00     1.202264e+00
     15     6.520221e-01     8.753399e-01     3.929673e-01     9.900143e-01     -5.964211e-02     5.960584e+00     1.202264e+00
     16     6.474718e-01     8.731286e-01     3.832569e-01     9.204838e-01     -6.218998e-02     6.099905e+00     1.202264e+00
     17     6.072436e-01     8.197139e-01     3.579331e-01     9.226816e-01     7.069948e-01     6.101510e+00     1.202264e+00
     18     5.932972e-01     7.835243e-01     3.796488e-01     8.424107e-01     1.286312e+00     6.215959e+00     1.202264e+00
     19     5.764398e-01     7.604094e-01     3.702550e-01     8.283464e-01     1.581289e+00     6.229934e+00     1.202264e+00
     20     5.702139e-01     7.553187e-01     3.611202e-01     8.281365e-01     1.601824e+00     6.231156e+00     1.202264e+00
# negative curvature suspected
#-------------------------------------------------
# FLECS resolving at new radius
     20     6.859687e-01     7.553187e-01     3.611202e-01     6.715411e-01     1.601824e+00     5.394366e+00     1.202264e+00
# negative curvature suspected
# trust-radius constraint active
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 5.456997e-04
# initial residual norm     = 1.354615e+00
# initial gradient norm     = 7.891350e-01
# initial constraint norm   = 1.101021e+00
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.230269e+00
      1     9.069214e-01     8.699971e-01     9.253168e-01     9.402126e-01     9.472962e-02     2.649358e-01     1.230269e+00
      2     8.595946e-01     8.645729e-01     8.570260e-01     8.528403e-01     7.206482e-02     3.344486e-01     1.230269e+00
      3     8.524479e-01     8.624051e-01     8.472873e-01     8.984176e-01     9.116950e-02     5.003360e-01     1.230269e+00
      4     7.765133e-01     8.021326e-01     7.630182e-01     9.369643e-01     -1.527164e-02     5.098016e-01     1.230269e+00
      5     7.762484e-01     8.030201e-01     7.621301e-01     1.053846e+00     -3.448020e-02     6.937046e-01     1.230269e+00
      6     7.712711e-01     8.004715e-01     7.558324e-01     1.088599e+00     -6.174184e-02     7.201394e-01     1.230269e+00
      7     7.704749e-01     8.018350e-01     7.538582e-01     1.218383e+00     -8.839677e-02     9.924071e-01     1.230269e+00
      8     7.357615e-01     7.719615e-01     7.164547e-01     1.296289e+00     -3.555115e-01     1.104536e+00     1.230269e+00
      9     7.355748e-01     7.730323e-01     7.155709e-01     1.366911e+00     -3.742454e-01     1.449020e+00     1.230269e+00
     10     7.316641e-01     7.757025e-01     7.079772e-01     1.398359e+00     -4.093554e-01     1.516556e+00     1.230269e+00
     11     7.316596e-01     7.758153e-01     7.079068e-01     1.399571e+00     -4.110454e-01     1.772322e+00     1.230269e+00
     12     7.145448e-01     7.825589e-01     6.769542e-01     1.419399e+00     -5.330031e-01     1.802108e+00     1.230269e+00
     13     7.138863e-01     7.798172e-01     6.775276e-01     1.306456e+00     -4.942011e-01     2.684441e+00     1.230269e+00
     14     7.095259e-01     7.860301e-01     6.668217e-01     1.315710e+00     -5.315242e-01     2.717467e+00     1.230269e+00
     15     7.091434e-01     7.857061e-01     6.664017e-01     1.267468e+00     -5.218323e-01     2.847258e+00     1.230269e+00
     16     6.951885e-01     8.016813e-01     6.335613e-01     1.281272e+00     -6.194844e-01     2.867530e+00     1.230269e+00
     17     6.742451e-01     8.020264e-01     5.980819e-01     1.042692e+00     -5.357908e-01     3.164092e+00     1.230269e+00
     18     6.661996e-01     8.085676e-01     5.796250e-01     1.045927e+00     -5.871847e-01     3.169746e+00     1.230269e+00
     19     6.635982e-01     8.088319e-01     5.748993e-01     1.000725e+00     -5.744096e-01     3.219805e+00     1.230269e+00
     20     6.537791e-01     8.188721e-01     5.500307e-01     9.921480e-01     -6.306478e-01     3.260259e+00     1.230269e+00
# negative curvature suspected
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 3.018065e-04
# initial residual norm     = 2.975450e+00
# initial gradient norm     = 2.211367e+00
# initial constraint norm   = 1.990769e+00
# iters     rel. res.        rel. grad.       rel. feas.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     1.258925e+00
      1     4.494685e-01     2.409095e-01     6.161855e-01     6.172697e-01     3.467922e-01     1.919298e+00     1.258925e+00
      2     4.482656e-01     2.455012e-01     6.119774e-01     6.106687e-01     3.439689e-01     1.927983e+00     1.258925e+00
      3     3.969502e-01     1.716427e-01     5.618205e-01     5.631228e-01     3.657262e-01     2.080974e+00     1.258925e+00
      4     3.907108e-01     1.662032e-01     5.540138e-01     5.558292e-01     3.574681e-01     2.091330e+00     1.258925e+00
      5     3.737300e-01     1.346732e-01     5.381810e-01     5.392637e-01     3.731752e-01     2.149320e+00     1.258925e+00
      6     3.737211e-01     1.344384e-01     5.382397e-01     5.397715e-01     3.742643e-01     2.193748e+00     1.258925e+00
      7     3.655412e-01     1.292660e-01     5.271399e-01     5.349575e-01     3.610682e-01     2.199676e+00     1.258925e+00
      8     3.644116e-01     1.267887e-01     5.261342e-01     5.367479e-01     3.666363e-01     2.249524e+00     1.258925e+00
      9     3.602629e-01     1.271150e-01     5.196141e-01     5.308830e-01     3.577713e-01     2.262540e+00     1.258925e+00
     10     3.601834e-01     1.262479e-01     5.197518e-01     5.322199e-01     3.593946e-01     2.284647e+00     1.258925e+00
     11     3.566278e-01     1.232459e-01     5.151432e-01     5.337976e-01     3.538830e-01     2.285413e+00     1.258925e+00
     12     3.549526e-01     1.188071e-01     5.138438e-01     5.338027e-01     3.633488e-01     2.310786e+00     1.258925e+00
     13     3.538790e-01     1.196549e-01     5.119434e-01     5.412940e-01     3.599999e-01     2.324826e+00     1.258925e+00
     14     3.528744e-01     1.188631e-01     5.106202e-01     5.428078e-01     3.663605e-01     2.364177e+00     1.258925e+00
     15     3.510677e-01     1.196178e-01     5.076118e-01     5.458631e-01     3.663056e-01     2.365565e+00     1.258925e+00
