# Kona Param. Contn. convergence history (opt tol = 4.772971e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
     37         0      8112      1.083e+01      1.084e+01     1.1912e-01     2.4296e-02      1.715e+01     1.0569e-01     2.3860e-02     1.480765e-03          
     37         1      8281      1.082e+01      1.083e+01     1.3805e-01     4.0075e-03      1.714e+01     1.7347e-03     1.0475e-04     1.480765e-03          

     38         0      8504      1.056e+01      1.057e+01     7.5806e-02     4.3607e-02      1.447e+01     7.9312e-02     4.3463e-02     9.139318e-04          
     38         1      9027      1.055e+01      1.056e+01     8.5318e-02     2.4011e-03      1.447e+01     1.2353e-03     2.9414e-04     9.139318e-04          

     39         0      9603      1.038e+01      1.038e+01     4.7036e-02     2.8170e-02      1.273e+01     4.8996e-02     2.8098e-02     5.490890e-04          
     39         1     10158      1.037e+01      1.038e+01     5.1043e-02     1.4077e-03      1.273e+01     3.5355e-04     1.7647e-04     5.490890e-04          

     40         0     10806      1.021e+01      1.021e+01     2.5190e-02     3.2458e-02      1.119e+01     2.9561e-02     3.2437e-02     2.275924e-04          
     40         1     11476      1.020e+01      1.020e+01     2.1387e-02     7.3303e-04      1.118e+01     8.4247e-04     4.1894e-04     2.275924e-04          

     41         0     12181      1.011e+01      1.011e+01     1.0606e-02     1.3813e-02      1.037e+01     1.2352e-02     1.3808e-02     6.173824e-05          
     41         1     12872      1.010e+01      1.010e+01     6.3501e-03     2.7111e-04      1.037e+01     1.1124e-03     2.0460e-04     6.173824e-05          

     42         0     13559      1.010e+01      1.010e+01     5.3741e-03     2.6754e-04      1.035e+01     3.5805e-03     2.0946e-04     5.738876e-05          
     42         1     14206      1.010e+01      1.010e+01     5.3836e-03     1.4092e-04      1.035e+01     1.5308e-04     1.4414e-05     5.738876e-05          

     43         0     14973      1.010e+01      1.010e+01     3.3578e-03     1.5164e-04      1.028e+01     3.0737e-03     1.0885e-04     4.201515e-05          
     43         1     15638      1.010e+01      1.010e+01     3.8909e-03     9.9667e-05      1.028e+01     2.3047e-05     2.6166e-06     4.201515e-05          

     44         0     16404      1.009e+01      1.009e+01     2.2168e-03     1.7475e-04      1.019e+01     2.2830e-03     1.6174e-04     2.397746e-05          
     44         1     17077      1.009e+01      1.009e+01     2.2132e-03     6.2018e-05      1.019e+01     9.0353e-05     2.3479e-05     2.397746e-05          

     45         0     18547      1.008e+01      1.008e+01     1.2328e-03     1.2808e-04      1.014e+01     1.2981e-03     1.2232e-04     1.209314e-05          
     45         1     19264      1.008e+01      1.008e+01     1.1368e-03     2.8389e-05      1.014e+01     3.1731e-05     2.3553e-06     1.209314e-05          

     46         0     20041      1.008e+01      1.008e+01     6.8719e-04     3.3823e-05      1.012e+01     6.5446e-04     2.7084e-05     7.447427e-06          
     46         1     20811      1.008e+01      1.008e+01     7.0286e-04     1.7355e-05      1.012e+01     2.7029e-05     1.2985e-06     7.447427e-06          

     47         0     21592      1.008e+01      1.008e+01     3.0490e-04     3.3162e-05      1.009e+01     4.1321e-04     3.1658e-05     2.770284e-06          
     47         1     22337      1.008e+01      1.008e+01     2.5301e-04     6.6960e-06      1.009e+01     1.1064e-05     1.3293e-06     2.770284e-06          

     48         0     23135      1.008e+01      1.008e+01     3.5249e-04     8.1314e-06      1.009e+01     3.1384e-04     7.2029e-06     1.206920e-06          
     48         1     23904      1.008e+01      1.008e+01     1.1409e-04     2.8793e-06      1.009e+01     1.0691e-04     4.3419e-07     1.206920e-06          

     49         0     24699      1.008e+01      1.008e+01     4.6139e-04     4.5686e-06      1.008e+01     4.7214e-04     4.4627e-06     2.003401e-07          
     49         1     25438      1.008e+01      1.008e+01     1.7468e-05     6.4568e-07      1.008e+01     5.3967e-06     3.7831e-07     2.003401e-07          

     50         0     26250      1.008e+01      1.008e+01     4.7381e-05     8.4290e-07      1.008e+01     4.7886e-05     8.3731e-07     1.220900e-08          
