# Kona Param. Contn. convergence history (opt tol = 2.386485e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0     -----        20      2.647e+02      2.647e+02     2.3865e+00     0.0000e+00     ----------     ----------     ----------     1.0000     
     34         1     18633      1.081e+01      1.081e+01     4.9175e-02     1.3372e-03      1.528e+01     1.6971e-03     1.2578e-03     0.0002606     
     34         2     20121      1.081e+01      1.081e+01     4.8273e-02     3.9006e-04      1.528e+01     4.5283e-05     6.0766e-05     0.0002606     

     35         0     21641      1.061e+01      1.062e+01     2.8904e-02     5.9086e-02      1.338e+01     4.0515e-03     5.9074e-02     0.0001607     
     35         1     23163      1.061e+01      1.061e+01     3.0786e-02     5.6624e-04      1.337e+01     1.7886e-03     4.9881e-04     0.0001607     
     35         2     24689      1.061e+01      1.061e+01     2.9790e-02     2.3311e-04      1.337e+01     2.2606e-05     1.0036e-05     0.0001607     

     36         0     26273      1.046e+01      1.046e+01     1.6103e-02     4.1789e-02      1.199e+01     2.9125e-03     4.1783e-02     0.0000889     
     36         1     27860      1.045e+01      1.045e+01     1.7282e-02     7.1485e-04      1.198e+01     1.4390e-03     6.9527e-04     0.0000889     
     36         2     29445      1.045e+01      1.045e+01     1.6495e-02     1.2807e-04      1.198e+01     1.0490e-05     6.2294e-06     0.0000889     

     37         0     31119      1.036e+01      1.037e+01     9.1028e-03     1.8765e-02      1.122e+01     1.5965e-03     1.8762e-02     0.0000494     
     37         1     32796      1.036e+01      1.036e+01     9.5029e-03     3.4743e-04      1.121e+01     5.9828e-04     3.3648e-04     0.0000494     
     37         2     34483      1.036e+01      1.036e+01     9.1863e-03     7.1405e-05      1.121e+01     1.3208e-05     7.1770e-06     0.0000494     

     38         0     36219      1.032e+01      1.032e+01     5.5712e-03     6.6435e-03      1.084e+01     7.2171e-04     6.6421e-03     0.0000305     
     38         1     37941      1.032e+01      1.032e+01     5.6909e-03     6.4027e-05      1.084e+01     6.2326e-05     4.4273e-05     0.0000305     

     39         0     39740      1.029e+01      1.029e+01     3.4337e-03     3.2788e-03      1.062e+01     4.4018e-04     3.2779e-03     0.0000189     
     39         1     41582      1.029e+01      1.029e+01     3.4662e-03     4.6918e-05      1.062e+01     1.3716e-04     3.6873e-05     0.0000189     

     40         0     43429      1.027e+01      1.027e+01     1.8418e-03     2.0864e-03      1.045e+01     3.6319e-04     2.0859e-03     0.0000105     
     40         1     45288      1.027e+01      1.027e+01     1.9569e-03     2.3577e-05      1.045e+01     2.7051e-05     1.7301e-05     0.0000105     

     41         0     47158      1.026e+01      1.026e+01     8.8647e-04     1.1129e-03      1.034e+01     1.4227e-04     1.1126e-03     0.0000048     
     41         1     49035      1.026e+01      1.026e+01     9.1240e-04     1.8196e-05      1.034e+01     3.5380e-05     1.6302e-05     0.0000048     

     42         0     50916      1.025e+01      1.025e+01     4.2803e-04     3.5872e-04      1.028e+01     1.2666e-04     3.5858e-04     0.0000019     
     42         1     52809      1.025e+01      1.025e+01     3.5737e-04     1.9763e-05      1.028e+01     5.8178e-05     1.9388e-05     0.0000019     

     43         0     54708      1.025e+01      1.025e+01     2.4463e-04     7.5036e-05      1.025e+01     1.9184e-04     7.4988e-05     0.0000005     
     43         1     56609      1.025e+01      1.025e+01     1.8216e-04     4.9559e-05      1.025e+01     1.4523e-04     4.9512e-05     0.0000005     
     43         2     58516      1.024e+01      1.024e+01     1.1846e-04     1.0822e-05      1.025e+01     9.4573e-05     1.0766e-05     0.0000005     
     43         3     60417      1.024e+01      1.024e+01     8.5570e-05     1.8010e-06      1.025e+01     1.1684e-05     1.6412e-06     0.0000005     
     43         4     62317      1.024e+01      1.024e+01     8.5281e-05     6.9155e-07      1.025e+01     2.1164e-06     1.9745e-07     0.0000005     
