# Kona Param. Contn. convergence history (opt tol = 1.193243e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0     -----        24      2.647e+02      2.647e+02     1.1932e+00     0.0000e+00     ----------     ----------     ----------     1.0000     
     39         0     27304      1.338e+02      1.338e+02     1.3298e+00     7.1424e-03      2.576e+02     7.3000e-03     6.6723e-03     0.0069166     
     39         1     27674      1.332e+02      1.332e+02     1.3289e+00     2.3670e-03      2.582e+02     2.2007e-05     3.5031e-05     0.0069166     

     40         0     28044      1.235e+02      1.235e+02     1.3017e+00     1.0504e-02      2.546e+02     7.0168e-03     1.0172e-02     0.0062808     
     40         1     28425      1.229e+02      1.229e+02     1.3006e+00     2.2671e-03      2.551e+02     2.5963e-05     4.6429e-05     0.0062808     

     41         0     28806      1.124e+02      1.124e+02     1.2667e+00     1.6757e-02      2.503e+02     6.9463e-03     1.6498e-02     0.0056731     
     41         1     29176      1.119e+02      1.119e+02     1.2653e+00     2.1799e-03      2.507e+02     3.1245e-05     6.3361e-05     0.0056731     

     42         0     29557      1.005e+02      1.005e+02     1.2217e+00     2.9592e-02      2.441e+02     7.2796e-03     2.9344e-02     0.0050760     
     42         1     29927      9.992e+01      9.992e+01     1.2199e+00     2.1026e-03      2.445e+02     3.8541e-05     8.7076e-05     0.0050760     

     43         0     30308      8.710e+01      8.710e+01     1.1607e+00     6.0898e-02      2.349e+02     8.5405e-03     6.0567e-02     0.0044626     
     43         1     32243      8.662e+01      8.663e+01     1.1584e+00     2.0294e-03      2.352e+02     4.8610e-05     1.1274e-04     0.0044626     

     44         0     34183      7.126e+01      7.126e+01     1.0690e+00     1.6694e-01      2.198e+02     1.2571e-02     1.6627e-01     0.0037757     
     44         1     36172      7.096e+01      7.096e+01     1.0656e+00     1.9420e-03      2.199e+02     7.3635e-05     7.7724e-05     0.0037757     

     45         0     38165      4.855e+01      4.856e+01     8.8570e-01     1.0004e+00      1.863e+02     3.1694e-02     9.9751e-01     0.0028030     
     45         1     40326      4.913e+01      4.913e+01     8.7934e-01     4.3644e-03      1.862e+02     6.2939e-04     3.9394e-03     0.0028030     

     46         0     42516      2.898e+01      2.907e+01     6.2445e-01     3.8451e+00      1.376e+02     4.4538e-02     3.8379e+00     0.0018554     
     46         1     44977      3.105e+01      3.106e+01     6.3133e-01     3.2831e-01      1.377e+02     3.3254e-03     3.2764e-01     0.0018554     

     47         0     47486      2.316e+01      2.325e+01     4.7419e-01     1.9997e+00      1.079e+02     2.6352e-02     1.9969e+00     0.0013773     
     47         1     50098      2.398e+01      2.399e+01     4.8498e-01     1.6318e-01      1.081e+02     8.2733e-03     1.6288e-01     0.0013773     
     47         2     52680      2.393e+01      2.393e+01     4.8170e-01     1.2121e-03      1.081e+02     1.4730e-03     3.3290e-04     0.0013773     

     48         0     55323      1.824e+01      1.832e+01     3.2667e-01     2.0532e+00      7.921e+01     3.9944e-02     2.0512e+00     0.0009497     
     48         1     58041      1.887e+01      1.888e+01     3.4873e-01     1.5062e-01      7.946e+01     2.0592e-02     1.5042e-01     0.0009497     
     48         2     60721      1.880e+01      1.880e+01     3.3937e-01     1.5693e-03      7.942e+01     8.6311e-04     1.2999e-03     0.0009497     

     49         0     63472      1.498e+01      1.505e+01     2.0388e-01     2.2340e+00      5.439e+01     4.2736e-02     2.2326e+00     0.0005968     
     49         1     66327      1.532e+01      1.533e+01     2.2872e-01     1.4264e-01      5.458e+01     2.4099e-02     1.4253e-01     0.0005968     
     49         2     69171      1.528e+01      1.528e+01     2.1627e-01     1.1812e-03      5.454e+01     9.0902e-04     1.0405e-03     0.0005968     

     50         0     72067      1.328e+01      1.331e+01     1.3194e-01     1.3327e+00      3.882e+01     2.6425e-02     1.3322e+00     0.0003810     
     50         1     75097      1.338e+01      1.338e+01     1.4584e-01     5.0895e-02      3.888e+01     1.2418e-02     5.0864e-02     0.0003810     
     50         2     78168      1.336e+01      1.336e+01     1.3934e-01     4.5897e-04      3.887e+01     3.4928e-04     3.0526e-04     0.0003810     

     51         0     81308      1.225e+01      1.226e+01     8.7686e-02     8.0396e-01      2.922e+01     1.5262e-02     8.0375e-01     0.0002506     
     51         1     84515      1.227e+01      1.227e+01     9.4909e-02     1.6149e-02      2.923e+01     5.4327e-03     1.6138e-02     0.0002506     
     51         2     87755      1.227e+01      1.227e+01     9.2227e-02     2.4743e-04      2.923e+01     2.6004e-05     1.1806e-04     0.0002506     

     52         0     91111      1.150e+01      1.151e+01     5.3937e-02     7.2013e-01      2.215e+01     1.3275e-02     7.2001e-01     0.0001560     
     52         1     94461      1.151e+01      1.151e+01     5.8451e-02     6.4209e-03      2.216e+01     2.6597e-03     6.4145e-03     0.0001560     
     52         2     97880      1.151e+01      1.151e+01     5.7647e-02     1.4074e-04      2.216e+01     1.2942e-05     5.1885e-05     0.0001560     

