#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 9.500000e-04
# initial residual norm     = 6.342510e+01
# initial gradient norm     = 4.776911e+00
# initial constraint norm   = 6.324495e+01
# iters     rel. res.        rel. grad.       rel. feas.       aug. res.        aug. grad.       aug. feas.       pred             pred. aug.       mu          
     10     2.863945e-03     2.441696e-03     3.381411e-03     6.523912e-01     8.481213e-01     6.280307e-02     -2.725219e+02     9.863786e+02     1.995262e+00
     11     1.724341e-03     1.515456e-03     1.987359e-03     6.523915e-01     8.481217e-01     6.280295e-02     -2.725228e+02     9.863788e+02     1.995262e+00
     12     4.298407e-04     5.382063e-04     1.828523e-04     6.523917e-01     8.481221e-01     6.280240e-02     -2.725230e+02     9.863789e+02     1.995262e+00
     13     4.228347e-04     5.309857e-04     1.731480e-04     6.523918e-01     8.481222e-01     6.280237e-02     -2.725230e+02     9.863789e+02     1.995262e+00
     14     1.401188e-04     1.286193e-04     1.552136e-04     6.523919e-01     8.481223e-01     6.280235e-02     -2.725230e+02     9.863790e+02     1.995262e+00
# negative curvature suspected
# trust-radius constraint active
# FLECS final (true) rel. res.  :   |res|/|res0| = 1.401191e-04
# FLECS final (true) rel. feas. : |feas|/|feas0| = 1.552136e-04
#-------------------------------------------------
# FLECS convergence history
# residual tolerance target = 2.990160e-04
# initial residual norm     = 4.308730e+01
# initial gradient norm     = 4.250965e+01
# initial constraint norm   = 7.031716e+00
# iters     rel. res.        rel. grad.       rel. feas.       aug. res.        aug. grad.       aug. feas.       pred             pred. aug.       mu          
      0     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     1.000000e+00     0.000000e+00     0.000000e+00     2.511886e+00
      1     8.378389e-01     7.301540e-01     2.621625e+00     9.854420e-01     9.969939e-01     9.431842e-01     -9.968249e+01     1.275263e+00     2.511886e+00
      2     1.961193e-01     1.454850e-01     8.189095e-01     9.041555e+00     9.164352e+00     3.108961e-01     -2.113151e+01     4.447986e+01     2.511886e+00
      3     1.075141e-01     1.037221e-01     2.020740e-01     8.733268e+01     8.851941e+01     3.587472e-01     -2.846712e+01     1.143160e+02     2.511886e+00
      4     1.016316e-01     1.027328e-01     4.586923e-02     2.272560e+01     2.303438e+01     3.539914e-01     -2.515461e+01     1.145204e+02     2.511886e+00
      5     6.703981e-02     6.167690e-02     1.724025e-01     7.137163e+01     7.234147e+01     3.538227e-01     -1.285961e+02     1.145276e+02     2.511886e+00
      6     1.441827e-02     8.489863e-03     7.191176e-02     4.878797e+01     4.945091e+01     3.537309e-01     -1.531642e+02     1.145317e+02     2.511886e+00
      7     9.369767e-03     4.113225e-03     5.174964e-02     9.450997e+01     9.579423e+01     3.536802e-01     -1.532134e+02     1.145339e+02     2.511886e+00
      8     6.893947e-03     1.600073e-03     4.112070e-02     7.720011e+01     7.824915e+01     3.535059e-01     -1.532198e+02     1.145415e+02     2.511886e+00
      9     6.872757e-03     1.620285e-03     4.095827e-02     1.737626e+01     1.761234e+01     3.535048e-01     -1.532197e+02     1.145416e+02     2.511886e+00
     10     3.703520e-03     2.505689e-03     1.689786e-02     1.246369e+01     1.263301e+01     3.172384e-01     -1.532224e+02     5.849794e+01     2.511886e+00
