# Kona Param. Contn. convergence history (opt tol = 1.392962e-06 | feas tol = 2.245265e-05)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
     34         0       904     -1.166e+02      4.117e+02     6.9376e+01     1.4140e+01      4.690e+03     8.4354e-02     8.0120e-02     2.757593e-01          
     34         1       943     -1.184e+02      4.126e+02     6.9416e+01     1.4220e+01      4.689e+03     7.3864e-04     4.5309e-04     2.757593e-01          

     35         0       974     -1.402e+02      2.985e+02     6.2737e+01     1.2184e+01      4.375e+03     9.2773e-02     8.2546e-02     2.540175e-01          
     35         1      1013     -1.424e+02      2.989e+02     6.2775e+01     1.2258e+01      4.375e+03     9.1381e-04     8.6599e-04     2.540175e-01          

     36         0      1048     -1.655e+02      1.993e+02     5.6784e+01     1.0515e+01      4.066e+03     7.6031e-02     6.8912e-02     2.337178e-01          
     36         1      1091     -1.676e+02      1.993e+02     5.6807e+01     1.0578e+01      4.066e+03     1.4221e-03     9.6989e-04     2.337178e-01          

     37         0      1126     -1.950e+02      9.902e+01     5.0625e+01     8.8525e+00      3.718e+03     9.5721e-02     8.3176e-02     2.119305e-01          
     37         1      1169     -1.978e+02      9.846e+01     5.0644e+01     8.9264e+00      3.719e+03     2.8397e-03     1.8377e-03     2.119305e-01          

     38         0      1208     -2.254e+02      1.457e+01     4.5399e+01     7.5371e+00      3.399e+03     7.4523e-02     6.1771e-02     1.926911e-01          
     38         1      1251     -2.277e+02      1.375e+01     4.5401e+01     7.5918e+00      3.399e+03     3.5755e-03     2.6527e-03     1.926911e-01          

     39         0      1290     -2.590e+02     -6.826e+01     4.0234e+01     6.2861e+00      3.060e+03     8.3432e-02     6.5194e-02     1.730045e-01          
     39         1      1333     -2.617e+02     -6.959e+01     4.0221e+01     6.3407e+00      3.061e+03     6.1917e-03     4.8490e-03     1.730045e-01          

     40         0      1376     -2.975e+02     -1.504e+02     3.5126e+01     5.1165e+00      2.700e+03     9.8161e-02     7.9965e-02     1.528207e-01          
     40         1      1419     -3.007e+02     -1.525e+02     3.5095e+01     5.1721e+00      2.700e+03     8.5738e-03     6.6000e-03     1.528207e-01          

     41         0      1462     -3.409e+02     -2.318e+02     3.0136e+01     4.0423e+00      2.321e+03     1.2522e-01     1.0370e-01     1.323702e-01          
     41         1      1505     -3.448e+02     -2.346e+02     3.0081e+01     4.1025e+00      2.322e+03     1.1579e-02     1.0023e-02     1.323702e-01          

     42         0      1548     -3.879e+02     -3.095e+02     2.5469e+01     3.1123e+00      1.941e+03     1.5894e-01     1.3158e-01     1.125846e-01          
     42         1      1591     -3.924e+02     -3.131e+02     2.5386e+01     3.1730e+00      1.941e+03     1.6439e-02     1.3399e-02     1.125846e-01          

     43         0      1677     -4.369e+02     -3.825e+02     2.1205e+01     2.3295e+00      1.568e+03     2.0122e-01     1.5557e-01     9.396701e-02          
     43         1      1720     -4.416e+02     -3.865e+02     2.1097e+01     2.3895e+00      1.568e+03     3.2301e-02     2.4587e-02     9.396701e-02          

     44         0      1806     -4.848e+02     -4.479e+02     1.7482e+01     1.7147e+00      1.222e+03     2.3710e-01     1.6607e-01     7.735352e-02          
     44         1      1849     -4.894e+02     -4.520e+02     1.7357e+01     1.7651e+00      1.222e+03     4.8890e-02     3.9179e-02     7.735352e-02          

     45         0      1935     -5.266e+02     -5.011e+02     1.4531e+01     1.2842e+00      9.343e+02     2.3203e-01     1.5568e-01     6.408942e-02          
     45         1      1978     -5.303e+02     -5.044e+02     1.4420e+01     1.3220e+00      9.338e+02     5.8803e-02     4.8644e-02     6.408942e-02          

     46         0      2064     -5.616e+02     -5.436e+02     1.2187e+01     9.7514e-01      6.953e+02     2.1947e-01     1.4615e-01     5.348477e-02          
     46         1      2107     -5.646e+02     -5.463e+02     1.2092e+01     1.0056e+00      6.949e+02     6.4503e-02     5.5049e-02     5.348477e-02          

     47         0      2193     -5.908e+02     -5.780e+02     1.0288e+01     7.4958e-01      4.942e+02     2.0262e-01     1.3718e-01     4.487213e-02          
     47         1      2236     -5.934e+02     -5.802e+02     1.0204e+01     7.7452e-01      4.940e+02     6.5329e-02     5.9212e-02     4.487213e-02          

     48         0      2322     -6.153e+02     -6.061e+02     8.7068e+00     5.8119e-01      3.213e+02     1.8670e-01     1.2765e-01     3.770571e-02          
     48         1      2365     -6.176e+02     -6.080e+02     8.6329e+00     6.0477e-01      3.213e+02     6.2179e-02     6.1155e-02     3.770571e-02          

     49         0      2451     -6.363e+02     -6.296e+02     7.3569e+00     4.5082e-01      1.696e+02     1.7011e-01     1.1836e-01     3.161396e-02          
     49         1      2494     -6.380e+02     -6.312e+02     7.2928e+00     4.6469e-01      1.697e+02     6.0148e-02     7.0356e-02     3.161396e-02          

     50         0      2580     -6.547e+02     -6.500e+02     6.1417e+00     3.4426e-01      2.883e+01     1.6622e-01     1.1991e-01     2.613495e-02          
     50         1      2623     -6.562e+02     -6.513e+02     6.0812e+00     3.5407e-01      2.900e+01     6.1805e-02     7.9284e-02     2.613495e-02          

     51         0      2709     -6.709e+02     -6.677e+02     5.0411e+00     2.6311e-01     -1.017e+02     1.5926e-01     1.2066e-01     2.121117e-02          
     51         1      2752     -6.722e+02     -6.688e+02     4.9832e+00     2.6976e-01     -1.014e+02     6.5283e-02     8.2938e-02     2.121117e-02          

     52         0      2838     -6.851e+02     -6.829e+02     4.0431e+00     2.0521e-01     -2.219e+02     1.4817e-01     1.1869e-01     1.681622e-02          
     52         1      2881     -6.860e+02     -6.836e+02     3.9948e+00     2.0746e-01     -2.216e+02     6.7064e-02     8.6350e-02     1.681622e-02          

     53         0      2967     -6.973e+02     -6.960e+02     3.1274e+00     1.6719e-01     -3.356e+02     1.4729e-01     1.2838e-01     1.279042e-02          
