# Kona Param. Contn. convergence history (opt tol = 1.193243e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
      0     -----        24      2.647e+02      2.647e+02     1.1932e+00     0.0000e+00     ----------     ----------     ----------     1.0000     
     31         0     40772      1.220e+02      1.220e+02     1.2973e+00     1.1159e-02      2.541e+02     6.9914e-03     1.0841e-02     0.0061941     
     31         1     41462      1.214e+02      1.214e+02     1.2961e+00     2.2541e-03      2.546e+02     2.6618e-05     4.8391e-05     0.0061941     

     32         0     42163      1.108e+02      1.108e+02     1.2611e+00     1.8025e-02      2.495e+02     6.9619e-03     1.7772e-02     0.0055891     
     32         1     42853      1.103e+02      1.103e+02     1.2596e+00     2.1686e-03      2.500e+02     3.2129e-05     6.6242e-05     0.0055891     

     33         0     43554      9.869e+01      9.869e+01     1.2143e+00     3.2389e-02      2.430e+02     7.3809e-03     3.2136e-02     0.0049917     
     33         1     47151      9.815e+01      9.815e+01     1.2125e+00     2.0922e-03      2.435e+02     3.9521e-05     9.0747e-05     0.0049917     

     34         0     50754      8.507e+01      8.507e+01     1.1503e+00     6.8612e-02      2.333e+02     8.8609e-03     6.8257e-02     0.0043726     
     34         1     54426      8.461e+01      8.461e+01     1.1478e+00     2.0188e-03      2.336e+02     5.0506e-05     1.1490e-04     0.0043726     

     35         0     58108      6.868e+01      6.869e+01     1.0517e+00     2.0031e-01      2.168e+02     1.3681e-02     1.9954e-01     0.0036661     
     35         1     61860      6.844e+01      6.844e+01     1.0480e+00     1.9260e-03      2.169e+02     8.4042e-05     5.6642e-05     0.0036661     

     36         0     65620      4.393e+01      4.395e+01     8.3893e-01     1.5047e+00      1.774e+02     3.9291e-02     1.5007e+00     0.0026015     
     36         1     69607      4.493e+01      4.493e+01     8.3194e-01     1.5363e-02      1.772e+02     1.0267e-03     1.5184e-02     0.0026015     

     37         0     73607      2.729e+01      2.740e+01     5.8734e-01     3.8095e+00      1.307e+02     4.3683e-02     3.8028e+00     0.0017400     
     37         1     78110      2.920e+01      2.921e+01     5.9732e-01     3.6980e-01      1.309e+02     5.3069e-03     3.6909e-01     0.0017400     
     37         2     82547      2.918e+01      2.918e+01     5.9525e-01     3.2999e-03      1.309e+02     2.1977e-03     2.9375e-03     0.0017400     

     38         0     87044      2.209e+01      2.216e+01     4.4322e-01     1.6711e+00      1.021e+02     3.1074e-02     1.6689e+00     0.0012877     
     38         1     91790      2.283e+01      2.284e+01     4.5735e-01     1.1389e-01      1.023e+02     1.1364e-02     1.1367e-01     0.0012877     
     38         2     96492      2.277e+01      2.277e+01     4.5304e-01     1.2900e-03      1.023e+02     1.5985e-04     6.4655e-04     0.0012877     

     39         0     101219      1.759e+01      1.766e+01     3.0383e-01     2.0022e+00      7.450e+01     3.7990e-02     2.0004e+00     0.0008816     
     39         1     106241      1.814e+01      1.814e+01     3.2531e-01     1.3597e-01      7.473e+01     2.0172e-02     1.3580e-01     0.0008816     
     39         2     111178      1.807e+01      1.807e+01     3.1611e-01     1.3468e-03      7.470e+01     4.9083e-04     1.0730e-03     0.0008816     

     40         0     116199      1.463e+01      1.469e+01     1.8918e-01     2.0987e+00      5.123e+01     4.0086e-02     2.0975e+00     0.0005526     
     40         1     121509      1.491e+01      1.491e+01     2.1203e-01     1.2313e-01      5.139e+01     2.1993e-02     1.2304e-01     0.0005526     
     40         2     126786      1.487e+01      1.487e+01     2.0057e-01     9.8002e-04      5.136e+01     8.5292e-04     8.3453e-04     0.0005526     

     41         0     132105      1.308e+01      1.310e+01     1.2330e-01     1.2063e+00      3.694e+01     2.3974e-02     1.2059e+00     0.0003552     
     41         1     137773      1.315e+01      1.316e+01     1.3570e-01     4.2107e-02      3.698e+01     1.0812e-02     4.2081e-02     0.0003552     
     41         2     143434      1.314e+01      1.314e+01     1.3006e-01     4.0681e-04      3.697e+01     2.5509e-04     2.5437e-04     0.0003552     

     42         0     149181      1.211e+01      1.212e+01     8.1696e-02     7.6568e-01      2.794e+01     1.4310e-02     7.6549e-01     0.0002333     
