# Kona Param. Contn. convergence history (opt tol = 2.386485e-04 | feas tol = 1.000000e-06)
# outer     inner      cost      objective     lagrangian       opt norm      feas norm       homotopy        hom opt       hom feas     mu             
     32         1     16013      1.137e+01      1.137e+01     9.5798e-02     6.4638e-02      2.082e+01     1.6198e-02     6.4582e-02     0.0005551     

     33         0     18799      1.099e+01      1.099e+01     5.7484e-02     1.4645e-01      1.700e+01     6.0189e-02     1.4639e-01     0.0003516     
     33         1     20223      1.099e+01      1.099e+01     6.5283e-02     2.1957e-03      1.700e+01     8.6581e-04     2.1064e-03     0.0003516     

     34         0     21679      1.075e+01      1.075e+01     3.7573e-02     7.7073e-02      1.462e+01     3.7696e-02     7.7050e-02     0.0002258     
     34         1     23138      1.074e+01      1.074e+01     4.2554e-02     6.2905e-04      1.462e+01     1.3203e-03     5.1235e-04     0.0002258     

     35         0     24691      1.057e+01      1.057e+01     2.4957e-02     4.6297e-02      1.300e+01     2.4307e-02     4.6288e-02     0.0001414     
     35         1     26215      1.057e+01      1.057e+01     2.6728e-02     4.2517e-04      1.300e+01     9.2256e-04     3.5814e-04     0.0001414     

     36         0     27823      1.043e+01      1.043e+01     1.4343e-02     4.0174e-02      1.170e+01     1.5346e-02     4.0169e-02     0.0000741     
     36         1     29427      1.042e+01      1.042e+01     1.4337e-02     9.3465e-04      1.170e+01     1.1026e-03     9.2265e-04     0.0000741     

     37         0     31100      1.033e+01      1.033e+01     7.5865e-03     2.1069e-02      1.095e+01     8.1302e-03     2.1067e-02     0.0000359     
     37         1     32773      1.033e+01      1.033e+01     6.8509e-03     3.4984e-04      1.095e+01     3.5814e-04     3.4306e-04     0.0000359     

     38         0     34534      1.029e+01      1.029e+01     3.7884e-03     5.6324e-03      1.065e+01     3.8870e-03     5.6314e-03     0.0000206     
     38         1     36301      1.029e+01      1.029e+01     3.7508e-03     8.2935e-05      1.065e+01     2.2043e-04     7.5880e-05     0.0000206     

     39         0     38143      1.027e+01      1.027e+01     1.9596e-03     2.4639e-03      1.047e+01     2.2200e-03     2.4633e-03     0.0000113     
     39         1     40001      1.027e+01      1.027e+01     2.1022e-03     2.8582e-05      1.047e+01     2.6842e-05     2.2600e-05     0.0000113     

     40         0     41866      1.026e+01      1.026e+01     1.0721e-03     1.2178e-03      1.035e+01     1.2114e-03     1.2176e-03     0.0000053     
     40         1     43745      1.026e+01      1.026e+01     1.0086e-03     1.7076e-05      1.035e+01     3.5947e-05     1.4705e-05     0.0000053     

     41         0     45621      1.025e+01      1.025e+01     5.1291e-04     4.0022e-04      1.029e+01     5.7151e-04     4.0007e-04     0.0000022     
     41         1     47512      1.025e+01      1.025e+01     4.1860e-04     1.3787e-05      1.029e+01     4.7881e-05     1.3179e-05     0.0000022     

     42         0     49408      1.025e+01      1.025e+01     2.7176e-04     6.3471e-05      1.026e+01     2.4803e-04     6.3367e-05     0.0000009     
     42         1     51309      1.025e+01      1.025e+01     1.8190e-04     2.9735e-05      1.026e+01     8.4314e-05     2.9629e-05     0.0000009     
     42         2     53212      1.025e+01      1.025e+01     1.7344e-04     2.4372e-06      1.026e+01     1.4761e-05     2.1073e-06     0.0000009     
     42         3     55109      1.025e+01      1.025e+01     1.7294e-04     1.3263e-06      1.026e+01     1.3083e-06     1.7808e-07     0.0000009     
