# FSTOPO Homotopy iteration timing history
# Iter    Time (s)    Total Time (s)    Objective Val    max(abs(-S*Lam))   negative S   postive Lam
  344        10.69        3714.01        263.477      0.016742     0     0
  345        10.68        3724.70        263.475      0.016749     0     0
  346        10.68        3735.38        263.473      0.016757     0     0
  347        10.67        3746.04        263.471      0.016764     0     0
  348        10.82        3756.86        263.469      0.016771     0     0
  349        10.69        3767.55        263.466      0.016778     0     0
  350        10.68        3778.23        263.464      0.016785     0     0
  351        10.68        3788.90        263.462      0.016792     0     0
  352        10.68        3799.58        263.46      0.016799     0     0
  353        10.68        3810.26        263.457      0.016806     0     0
  354        10.68        3820.94        263.455      0.016813     0     0
  355        10.66        3831.61        263.453      0.016820     0     0
  356        10.67        3842.28        263.451      0.016827     0     0
  357        10.67        3852.95        263.448      0.016834     0     0
  358        10.67        3863.62        263.446      0.016841     0     0
  359        10.78        3874.40        263.444      0.016848     0     0
  360        10.69        3885.09        263.442      0.016855     0     0
  361        10.69        3895.78        263.439      0.016862     0     0
  362        10.69        3906.47        263.437      0.016869     0     0
  363        10.68        3917.14        263.435      0.016876     0     0
  364        10.69        3927.83        263.433      0.016883     0     0
  365        10.69        3938.52        263.43      0.016889     0     0
  366        10.67        3949.19        263.428      0.016896     0     0
  367        10.69        3959.88        263.426      0.016903     0     0
  368        10.68        3970.56        263.423      0.016910     0     0
  369        10.77        3981.33        263.421      0.016916     0     0
  370        10.85        3992.18        263.419      0.016923     0     0
  371        11.09        4003.27        263.416      0.016930     0     0
  372        11.23        4014.49        263.414      0.016936     0     0
  373        11.57        4026.06        263.412      0.016943     0     0
  374        13.10        4039.16        263.409      0.016950     0     0
  375        13.10        4052.26        263.407      0.016956     0     0
  376        12.14        4064.41        263.405      0.016963     0     0
  377        10.68        4075.09        263.402      0.016969     0     0
  378        10.70        4085.79        263.4      0.016976     0     0
  379        10.69        4096.49        263.398      0.016982     0     0
  380        13.11        4109.60        263.395      0.016989     0     0
  381        10.90        4120.50        263.393      0.016995     0     0
  382        10.68        4131.18        263.39      0.017002     0     0
  383        10.67        4141.85        263.388      0.017008     0     0
  384        10.69        4152.53        263.386      0.017015     0     0
  385        10.70        4163.23        263.383      0.017021     0     0
  386        10.69        4173.92        263.381      0.017027     0     0
  387        10.68        4184.60        263.379      0.017034     0     0
  388        10.69        4195.29        263.376      0.017040     0     0
  389        10.71        4206.00        263.374      0.017046     0     0
  390        10.71        4216.71        263.371      0.017053     0     0
  391        10.69        4227.40        263.369      0.017059     0     0
  392        10.82        4238.23        263.366      0.017065     0     0
  393        10.68        4248.91        263.364      0.017071     0     0
  394        10.68        4259.58        263.361      0.017078     0     0
  395        10.66        4270.25        263.359      0.017084     0     0
  396        10.68        4280.93        263.357      0.017090     0     0
  397        10.68        4291.61        263.354      0.017096     0     0
  398        10.68        4302.28        263.352      0.017102     0     0
  399        10.68        4312.96        263.349      0.017108     0     0
  400        10.68        4323.64        263.347      0.017115     0     0
  401        10.67        4334.31        263.344      0.017121     0     0
  402        10.68        4344.99        263.342      0.017127     0     0
  403        11.21        4356.20        263.339      0.017133     0     0
  404        12.05        4368.25        263.337      0.017139     0     0
  405        10.68        4378.93        263.334      0.017145     0     0
  406        10.67        4389.60        263.332      0.017151     0     0
  407        10.69        4400.29        263.329      0.017157     0     0
  408        10.68        4410.97        263.327      0.017163     0     0
  409        10.68        4421.65        263.324      0.017169     0     0
  410        10.67        4432.32        263.322      0.017175     0     0
  411        10.67        4442.99        263.319      0.017180     0     0
  412        10.67        4453.66        263.316      0.017186     0     0
  413        10.65        4464.30        263.314      0.017192     0     0
  414        10.81        4475.11        263.311      0.017198     0     0
  415        10.65        4485.76        263.309      0.017204     0     0
  416        10.64        4496.40        263.306      0.017210     0     0
  417        10.65        4507.05        263.304      0.017215     0     0
  418        10.65        4517.69        263.301      0.017221     0     0
  419        10.64        4528.33        263.298      0.017227     0     0
  420        10.65        4538.98        263.296      0.017233     0     0
  421        10.66        4549.64        263.293      0.017238     0     0
  422        10.63        4560.27        263.291      0.017244     0     0
  423        10.62        4570.89        263.288      0.017250     0     0
  424        10.62        4581.51        263.285      0.017255     0     0
  425        10.74        4592.26        263.283      0.017261     0     0
  426        10.69        4602.95        263.28      0.017267     0     0
  427        10.63        4613.58        263.277      0.017272     0     0
  428        10.64        4624.22        263.275      0.017278     0     0
  429        10.63        4634.85        263.272      0.017284     0     0
  430        10.62        4645.48        263.269      0.017289     0     0
  431        10.63        4656.11        263.267      0.017295     0     0
